bookId;genres
78433;fiction&historical-fiction&mystery&canada&literary-fiction&classics&contemporary&literature&historical&science-fiction
78411;fiction&young-adult&childrens&fantasy&middle-grade&mystery&adventure&audiobook&humor&juvenile
78039;childrens&fiction&middle-grade&classics&young-adult&realistic-fiction&humor&chapter-books&juvenile&family
78024;fiction&classics&russia&russian-literature&historical-fiction&literature&war&nobel-prize&novels&20th-century
77767;classics&historical-fiction&childrens&fiction&young-adult&historical&middle-grade&juvenile&audiobook&family
77727;comics&humor&graphic-novels&fiction&childrens&comedy&graphic-novels-comics&classics&comic-book&comic-strips
77566;science-fiction&fiction&fantasy&space-opera&science-fiction-fantasy&audiobook&time-travel&horror&classics&space
77554;fiction&canada&historical-fiction&literary-fiction&literature&novels&classics&contemporary&canadian-literature&womens
77390;classics&fiction&young-adult&historical-fiction&childrens&historical&romance&audiobook&canada&middle-grade
77287;fiction&classics&historical-fiction&literature&nobel-prize&novels&scandinavian-literature&literary-fiction&20th-century&historical
77163;fiction&historical-fiction&germany&world-war-ii&historical&holocaust&war&literary-fiction&book-club&adult-fiction
77156;fiction&literary-fiction&contemporary&novels&literature&adult-fiction&book-club&adult&family&american
77142;fiction&historical-fiction&mystery&historical&literature&literary-fiction&novels&romance&classics&adult-fiction
77013;classics&fiction&literature&novels&american&school&southern-gothic&literary-fiction&20th-century&southern
76889;poetry&classics&fiction&literature&american&20th-century&the-united-states-of-america&anthologies&poetry-plays&collections
76778;science-fiction&fiction&classics&short-stories&fantasy&science-fiction-fantasy&audiobook&american&space&literature
76620;classics&fiction&fantasy&young-adult&animals&childrens&adventure&literature&novels&audiobook
76401;history&non-fiction&american-history&classics&historical&politics&race&war&westerns&native-americans
76171;fiction&science-fiction&classics&dystopia&russia&russian-literature&literature&novels&20th-century&science-fiction-fantasy
74406;fiction&canada&classics&historical-fiction&literature&literary-fiction&novels&canadian-literature&school&historical
72657;education&non-fiction&philosophy&politics&theory&social-justice&teaching&sociology&history&academic
